timestamp,cpu_usage,ram_usage,disk_usage,process_count,new_processes,terminated_processes,login_success,login_failed,logoff_events,file_created,file_modified,file_deleted,file_renamed
2026-09-22T10:09:15.694943,50.4,92.2,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:22.332001,47.3,89.6,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:28.444710,30.1,89.7,55.9,243,0,1,0,0,0,0,0,0,0
2026-09-22T10:09:34.147211,34.1,90.7,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:39.513455,42.2,91.8,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:45.758420,18.7,92.1,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:51.140328,25.5,89.1,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:09:57.296051,25.5,89.1,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:02.630887,34.5,89.1,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:08.111551,23.3,88.8,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:13.431658,28.7,89.5,55.9,244,0,2,0,0,0,0,0,0,0
2026-09-22T10:10:18.719474,28.7,89.5,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:24.167565,31.1,89.8,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:29.776543,49.6,90.6,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:35.010674,41.2,90.6,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:41.962583,13.4,90.6,55.9,244,1,0,0,0,0,0,0,0,0
2026-09-22T10:10:47.373999,13.4,90.6,55.9,244,0,1,0,0,0,0,0,0,0
2026-09-22T10:10:53.030187,37.7,85.9,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:10:58.488935,36.3,85.7,55.9,244,0,0,0,0,0,0,0,0,0
2026-09-22T10:11:04.032845,34.4,85.5,55.9,245,1,0,0,0,0,0,0,0,0
2026-09-22T10:11:09.423318,41.2,86.1,55.9,245,1,1,0,0,0,0,0,0,0
2026-09-22T10:11:14.853036,41.2,86.1,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T10:11:20.320564,29.6,86.4,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T10:11:25.679685,65.1,87.5,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T10:11:31.452075,35.8,88.2,55.9,245,0,0,0,0,0,0,0,0,0
2026-09-22T10:11:36.906512,100.0,91.7,55.9,248,1,0,1,0,0,0,0,0,0
2026-09-22T10:11:42.222026,100.0,91.7,55.9,248,0,0,2,0,0,0,0,0,0
2026-09-22T10:11:47.509865,35.9,92.3,55.9,251,3,2,0,0,0,0,0,0,0
2026-09-22T10:11:52.922549,38.0,91.0,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:16:22.215472,100.0,92.3,55.9,252,0,0,0,0,0,0,0,0,0
2026-09-22T10:16:32.118253,100.0,92.3,55.9,252,0,0,1,0,0,0,0,0,0
2026-09-22T10:16:38.539589,100.0,90.7,55.9,263,1,0,1,0,0,0,0,0,0
2026-09-22T10:16:44.507758,100.0,90.7,55.9,263,3,3,2,0,0,0,0,0,0
2026-09-22T10:16:50.570604,100.0,90.7,55.9,263,0,0,0,0,0,0,0,0,0
2026-09-22T10:16:56.483201,99.3,94.7,55.9,262,1,5,0,0,0,0,0,0,0
2026-09-22T10:17:02.312057,99.3,94.7,55.9,262,0,0,2,0,4,0,0,0,0
2026-09-22T10:17:08.640655,100.0,94.3,55.9,263,3,2,1,0,0,0,0,0,0
2026-09-22T10:17:14.496592,91.9,94.8,55.9,263,0,1,0,0,0,0,0,0,0
